Typ,Tema,Deltagare,Arrangor
Monterprogram,Barn och ungdom / Bibliotek / Hälsa och livsstil / Memoarer och biografier / Skola,,Sportförlaget i Europa AB
Monterprogram,Barn och ungdom / Bibliotek / Memoarer och biografier / Samhälle och debatt / Skola / Yttrandefrihet,,Sportförlaget i Europa AB
Monterprogram,Barn och ungdom / Bibliotek / Fantasy och science fiction / Historia / Skola,,Roslagstext
"Monterprogram, Scenprogram",Hälsa och livsstil / Livsåskådning,Åsa Nilsonne,Natur & Kultur
Scenprogram,Livsåskådning,Lena Sjöstrand,Se människan
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Anna Lindenfors, Martin Schibbye",Amnesty och Riksteatern
Monterprogram,,,Albert Bonniers Förlag
Monterprogram,Samhälle och debatt,,Studieförbundet Vuxenskolan
Monterprogram,Serier,,Wahlström & Widstrand
Monterprogram,Barn och ungdom,Beppe Singer,Bonnier Carlsen
Monterprogram,Deckare,Olle Lönnaeus,Eksjö Bokhandel
,Skola,"Jenny Jakobsson Lundin, Lena Vestlin, Tuija Lehtinen",Lärarförlaget
Monterprogram,,Janina Orlov,Litorale
Scenprogram,Memoarer och biografier,"Elsie Johansson, Ylva Leitzinger","Se människan, Albert Bonniers Förlag"
"Monterprogram, Scenprogram",Historia,Kirsi Vainio-Korhonen,Svenska litteratursällskapet i Finland
"Monterprogram, Scenprogram",Historia / Samhälle och debatt,"Dick Harrison, Henrik Meinander",Svenska litteratursällskapet i Finland
,Memoarer och biografier,"Herta Müller, Maria Schottenius",Rumänska kulturinstitutet och Wahlström & Widstrand
,,"Klas Östergren, Kristoffer Leandoer, Therese Bohman, Åsa Beckman",Natur & Kultur och Norstedts
,Barn och ungdom / Populärvetenskap,Asta Cekaite,Linköpings universitet
Scenprogram,Historia / Yttrandefrihet,Lars-Åke Engblom,Svensk Presshistorisk Förening
,Hälsa och livsstil,,MI Migrän info /MIAB förlag
Monterprogram,,,Semic
,,"Erlend Loe, Fredrik Backman, Tara Moshizi",Alfabeta Bokförlag och Piratförlaget
,Barn och ungdom / Deckare,"Camilla Sten, Karin Lemon, Viveca Sten",Bonnier Carlsen
,Hälsa och livsstil / Samhälle och debatt,"Alexandra Charles, Annika Jankell, Ingemo Bonnier, Leone Milton, Lina Heed, Linn Heed",I samarbete med Bladh by Bladh
Monterprogram,Barn och ungdom,Katerina Janouch,Bonnier Carlsen
Monterprogram,Hälsa och livsstil,Anders Hansen,Bonnier Fakta
,Samhälle och debatt,,Linköpings universitet
,Skola,"Lovisa Fhager Havdelin, Sten Hagberg",Lärarnas Riksförbund forum humsam
,Samhälle och debatt / Yttrandefrihet,"Anna-Lena Laurén, Cecilia Uddén, Gabriel Byström, Ola Wong",Global Free Speech vid Göteborgs universitet
Monterprogram,,Kristina Sandberg Kempe,Studieförbundet Vuxenskolan
,,"Helena Ljungström, Malte Persson",Albert Bonniers förlag
Monterprogram,Historia / Memoarer och biografier,"Fredrik Elgh, Wivan Nygård-Fagerudd",eddy.se
Scenprogram,Historia / Samhälle och debatt,"Alf Linderman, Ola Larsmo","Se människan, Albert Bonniers Förlag"
,Memoarer och biografier,"Ingrid Elam, Johanna Ekström",Albert Bonniers förlag
,Hälsa och livsstil,"Karin Wahlberg, Kerstin Twedmark, Åsa Selling",Wahlström & Widstrand
,Deckare,"Martin Österdahl, Mons Kallentoft",Bokförlaget Forum
Monterprogram,Memoarer och biografier,"Anna Öqvist Ragnar, Susanne Hellman Holmström, Suzanne Axell",Storytel
,Barn och ungdom / Fantasy och science fiction,"Jonas Andersson, Patrik Bergström, Siri Pettersen","B Wahlström, Lilla Piratförlaget, Kulturrådet"
Scenprogram,,Gunilla Winberg,Författarcentrum och Sveriges Författarförbund
Scenprogram,,Claes-Göran Wetterholm,Författarcentrum och Sveriges Författarförbund
,Skola,"David Lagercrantz, Hussein Al Saidan, Karin Wahlén, Louise Halvardsson, Sara Kadefors","Nätverket Läslov vecka 44 – ett brett läsfrämjande samarbete genom Läsrörelsen med elevorganisationer, bokförlag, bibliotek, bokhandel, idrottsföreningar, fackliga organisationer, kulturinstitutioner och företag i ett stort växande nätverk."
"Monterprogram, Scenprogram",Bibliotek / Historia / Memoarer och biografier,Urban Lundberg,Riksbankens Jubileumsfond
,Barn och ungdom / Samhälle och debatt,"Farzad Farzaneh, Ylva Hällen",I samarbete med Bonnier Carlsen
Monterprogram,Samhälle och debatt,,Norstedts
Scenprogram,Hälsa och livsstil / Samhälle och debatt,"Andreas Rydell, Carolina Jemsby, Joakim Wohlfeil",Diakonia
,Historia,"Carl Otto Werkelid, Odd Zschiedrich",Harry Martinson-sällskapet och Svenska Akademien
Scenprogram,,Christer Åsberg,Karlfeldtsamfundet
,Memoarer och biografier / Serier,"Bim Eriksson, Ester Eriksson, Nina Hemmingsson",Kartago
"Monterprogram, Scenprogram",Barn och ungdom / Bibliotek / Samhälle och debatt / Skola,"Alf Hornborg, Joel Halldorf, Mikael Kurkiala",Svenska kyrkan
Monterprogram,Memoarer och biografier,,Wahlström & Widstrand
Monterprogram,Barn och ungdom,Beppe Singer,Bonnier Carlsen
,Barn och ungdom,"Malin Stehn, Måns Gahrton, Sara Ruder",Berghs Förlag och Bokförlaget Opal
,Memoarer och biografier,"Christian Manfred, Kristian Lundberg",Wahlström & Widstrand
Monterprogram,,Annika Estassy,Studieförbundet Vuxenskolan
Monterprogram,Deckare,,Eksjö Bokhandel
,Fantasy och science fiction,"Karin Waller, Nene Ormes",SF-bokhandeln
,Hälsa och livsstil / Samhälle och debatt,"Liria Ortiz, Nina Eidem, Qaisar Mahmood",Natur & Kultur
Monterprogram,Samhälle och debatt,"Märta Tikkanen, Philip Teir",Schildts & Söderströms
Scenprogram,Barn och ungdom / Fantasy och science fiction,"Sara Blom, Siri Pettersen","Se människan, B Wahlströms"
Monterprogram,Barn och ungdom / Deckare,Anna Jansson,Rabén & Sjögren
Monterprogram,Barn och ungdom,Anna Öqvist Ragnar,Storytel
,Barn och ungdom,"Ebba Berg, Lena Grönlund, Maria Dexborg, Marie Tomicic, Marie Tomicic","Olika förlag, Kulturrådet"
Scenprogram,Barn och ungdom,"Jenny Jägerfeld, Mats Strandberg",Författarcentrum och Sveriges Författarförbund
,Barn och ungdom / Historia / Livsåskådning,"Charlotte Cederlund, Elisabeth Östnäs, Katarina Dorbell",I samarbete med Berghs förlag och Bokförlaget Opal
Monterprogram,,,Norstedts
Scenprogram,Samhälle och debatt,"Cecilia Malmström, Rolf Gustavsson",EU-kommissionens representation i Sverige
Monterprogram,Bibliotek / Hälsa och livsstil / Skola,Monica Langwe,Hemslöjdens förlag
,,"Kim Thúy, Yukiko Duke",Sekwa förlag
,Livsåskådning,"Agneta Klingspor, Ann Lagerström, Birgitta Boucht, Sven Wollter","Ordfront förlag, Bokförlaget Atlas och Schildts & Söderströms"
,Populärvetenskap,"Cecilia Fredriksson, Ida de Wit Sandström",Centrum för Öresundsstudier och Makadam förlag
,Deckare,"Maria Neij, Olle Lönnaeus",Massolit
Scenprogram,,Ebba Witt-Brattström,DELS/Parnass
Monterprogram,,,Max Ström
Monterprogram,,,Wahlström & Widstrand
Monterprogram,,,Bonnier Carlsen
,Barn och ungdom,"Farzad Farzaneh, Ulrika Caperius, Ylva Hällen",Bonnier Carlsen
,Barn och ungdom / Fantasy och science fiction,"Agneta Edwards, Katarina Dorbell, Magnus Nordin",I samarbete med Berghs förlag och Barnensbibliotek.se
,Samhälle och debatt / Skola,,Linköpings universitet
,Skola,"Eva Söderberg, Helena Linge",Lärarnas Riksförbund
Monterprogram,,,Eksjö Bokhandel
Monterprogram,Samhälle och debatt,,Lunds universitet
,Historia,"Göran Redin, John Chrispinsson, Maria Gustavsdotter, Ulrika Kärnborg",Historiska Media och Natur & Kultur
,Deckare,"Anna Bennich Karlstedt, Jens Lapidus",Wahlström & Widstrand
Monterprogram,,Sara Razai,Förlaget
,,"Cecilia Hagen, Eva Bonnier",Albert Bonniers förlag
,Samhälle och debatt,"Andreas Cervenka, Joris Luyendijk, Malin Ullgren",Natur & Kultur
Monterprogram,,,Norstedts
Scenprogram,Livsåskådning,"Antje Jackelén, Karen Armstrong","Se människan, Natur och Kultur"
Monterprogram,Memoarer och biografier,Elsie Johansson,Vi Media AB
Monterprogram,Bibliotek,,"Länsbiblioteket, Region Västerbotten"
,Samhälle och debatt,"Bogdan Ghiu, Gabriella Håkansson, Joanna Bator, Michal Ajvaz, Nuno Abrantes",EUNIC
Monterprogram,,Maria Snare Johnsson,Tukan förlag
,,"Kim M Kimselius, Kristina Svensson, Lennart Guldbrandsson",Roslagstext
Monterprogram,Samhälle och debatt,Anna Öqvist Ragnar,Storytel
Monterprogram,Samhälle och debatt,,Sjöfartens Kultursällskap
Monterprogram,Barn och ungdom / Bibliotek / Samhälle och debatt / Skola,,Karnstedts förlag
Scenprogram,Samhälle och debatt,"Emanuel Sidea, Lawen Mohtadi",Natur & Kultur
,Samhälle och debatt,"Jens Liljestrand, Katarina Wennstam",Albert Bonniers förlag
,Barn och ungdom,"Anne-Marie Körling, Johan Unenge, Måns Gahrton","Bonnier Carlsen, Kulturrådet"
Scenprogram,Barn och ungdom,David Wiberg,Författarcentrum och Sveriges Författarförbund
"Monterprogram, Scenprogram",Barn och ungdom / Bibliotek / Samhälle och debatt / Skola,Anders Hansen,Bonnier Fakta
,Barn och ungdom / Skola,"Ann Frisén, Niklas Gårdfeldt Leavy, Sofia Berne",Natur & Kultur
,Barn och ungdom / Samhälle och debatt,Monica Zak,I samarbete med Bokförlaget Opal AB
Monterprogram,Barn och ungdom,,Rabén & Sjögren
Scenprogram,Barn och ungdom / Samhälle och debatt,,Vision Göteborg
Monterprogram,Barn och ungdom,"Anna Öqvist Ragnar, Pia Hagmar",Storytel
,,"Birgitta Andersson Backlund, Charlotta von Zweigbergk, Eva Swedenmark",Ordberoende förlag
,Historia,"Ingrid Sjöström, Margareta Nisser-Dalman, Ursula Sjöberg",Svenska Akademien
Scenprogram,Historia / Samhälle och debatt,Jane Ekstam,Gustaf Hellström-sällskapet
Monterprogram,,Hans Gunnarsson,Retorikcentrum vid Göteborgs universitet
,,Gaston Dorren,Alfabeta Bokförlag
Monterprogram,Deckare,,Albert Bonniers Förlag
Monterprogram,Barn och ungdom,,Semic
Monterprogram,Barn och ungdom,Stina Wirsén,Bonnier Carlsen
,Barn och ungdom,"Jenny Milewski, Marie Augustsson, Sandra Beijer",Natur & Kultur
,Barn och ungdom,"Johanna Thydell, Karin Skagerberg, Liria Ortiz",Alfabeta Förlag
Monterprogram,Memoarer och biografier / Yttrandefrihet,"Philip Teir, Yrsa Stenius",Förlaget
Monterprogram,,Mats Strandberg,Norstedts
Scenprogram,Historia,"Ludvig Lindelöf, Malte Persson","Se människan, Albert Bonniers Förlag"
,Deckare,Kristina Appelqvist,Piratförlaget
,Barn och ungdom,"Emma Adbåge, Lisen Adbåge, Lotta Brilioth Biörnstad, Lotta Olsson","Lilla Piratförlaget, Natur & Kultur, Kulturrådet"
Scenprogram,Barn och ungdom,"Kalle Güettler, Viktor Engholm",Författarcentrum och Sveriges Författarförbund
"Monterprogram, Scenprogram",Samhälle och debatt / Yttrandefrihet,Johan Brännmark,Kungl. Vitterhetsakademien
,Barn och ungdom / Samhälle och debatt,"Ebba Billengren, Ida Sundin Asp",I samarbete med Urax förlag och Bokslukaren
Monterprogram,,Annika Estassy,Norstedts
Scenprogram,Hälsa och livsstil / Samhälle och debatt,"Naomi Nyalusi, Pierre Andersson",IOGT-NTO
Monterprogram,Hälsa och livsstil / Samhälle och debatt / Skola,,Slöjd i Väst
,Samhälle och debatt,"Lejla Hastor, Negra Efendic, Nivin Yosef, Qaisar Mahmood, Ulrika Engström",Natur & Kultur och Wahlström & Widstrand
,Samhälle och debatt,"David Norlin, Jessica Schiefauer, Madeleine Hessérus, Åsa Avdic",Natur & Kultur och Weyler förlag
,Memoarer och biografier,Paul Tenngart,Ellerströms
,Deckare,Sara Lövestam,Piratförlaget
,Memoarer och biografier,"Kari Rosvall, Lisbeth Gustafsson",Libris
Scenprogram,,Ulf Beijbom,Vilhelm Moberg-Sällskapet
Monterprogram,,Lars-Gunnar Andersson,Institutionen för svenska språket
,Barn och ungdom,"Anna Ehring, Ebba Billengren",I samarbete med Urax förlag och Bokslukaren
"Monterprogram, Scenprogram",Samhälle och debatt,Hans Sjögren,Linköpings universitet
Monterprogram,Memoarer och biografier,,Forum
Monterprogram,Barn och ungdom,"Alexander Jansson, Henrik Jonsson, Johan Unenge, Johanna Kristiansson, Stina Wirsén",Bonnier Carlsen och Bonnier Fakta
,,"Christian Manfred, Per Wästberg",Wahlström & Widstrand
Monterprogram,Samhälle och debatt,,Göteborgs universitet
,Samhälle och debatt / Yttrandefrihet,,TU - Medier i Sverige
Monterprogram,Hälsa och livsstil / Samhälle och debatt,,Studieförbundet Vuxenskolan
Monterprogram,Serier,,Kartago
Monterprogram,Barn och ungdom,Beppe Singer,Eksjö Bokhandel
,Hälsa och livsstil,"Allan Linnér, Björn Linell, Lena Andersson",Natur & Kultur
Monterprogram,,Ralf Andtbacka,"Förlaget, Schildts & Söderströms"
Monterprogram,,,Norstedts
Scenprogram,Livsåskådning / Samhälle och debatt,"Anders Wejryd, Anna Sundberg, Jesper Huor","Se människan, Norstedts"
,Memoarer och biografier,"Elsie Johansson, Erik Sidenbladh",Albert Bonniers förlag
Monterprogram,Bibliotek / Skola,,Lärarnas Riksförbund i samarbete med Novellix
,Samhälle och debatt / Serier,"Daria Bogdanska, Kajsa Ekis Ekman, Liv Strömquist, Shang Imam",Galago
,Livsåskådning / Memoarer och biografier,"Carl Otto Werkelid, Carlos Luna, Kristina Kappelin, Stefan Eklund","Brombergs Bokförlag, Se människan/Svenska kyrkan, Newmaninstitutet och Signum"
,Historia / Memoarer och biografier,"Jenny Björkman, Lillemor Erlander, Per Olov Enquist, Sven Erlander, Ulf Bjereld, Urban Lundberg",Gidlunds Förlag och Riksbankens Jubileumsfond
,Barn och ungdom,"Farzad Farzaneh, Ulrika Caperius","Bonnier Carlsen, Kulturrådet"
,Historia,Ida Dicksson,Votum Förlag
Scenprogram,Samhälle och debatt,"Cecilia Uddén, Joakim Medin",Internationella torget och Leopard förlag
Scenprogram,Barn och ungdom / Bibliotek / Skola,"Carola Mikaelsson, Therése Granwald",Författarcentrum och Sveriges Författarförbund
Monterprogram,,Karolina Ramqvist,Norstedts
,Barn och ungdom / Fantasy och science fiction / Historia,"Camilla Sten, Viveca Sten",I samarbete med Bonnier Carlsen
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Erik Jennische, Hedwig Kastenholm, Martin Guevara, Paul Frigyes",SILC
"Monterprogram, Scenprogram",,Per Jönsson,Malmö högskola
,Livsåskådning / Samhälle och debatt,"Houria Abdelouahed,  Adonis",Volante
Scenprogram,,"Margareta Lilja Svensson, Sigrid Fredriksson",Margit Friberg-sällskapet
Monterprogram,,,Studieförbundet Vuxenskolan
,Historia,,Timbro
Monterprogram,Barn och ungdom,,Bonnier Carlsen
,Hälsa och livsstil,Stefan Blomberg,Studentlitteratur
Monterprogram,Samhälle och debatt,Henry Ascher,Göteborgs universitet
Monterprogram,Samhälle och debatt,Alf Hornborg,Lunds universitet
Monterprogram,Serier,,Kartago
,Deckare,"Eva Gedin, Helena von Zweigbergk",Norstedts
,Hälsa och livsstil,Aleksander Perski,Natur & Kultur
Monterprogram,Barn och ungdom / Fantasy och science fiction,Janina Orlov,"Förlaget, Berghs Förlag"
Scenprogram,Livsåskådning,"Caroline Krook, Lennart Hagerfors","Se människan, Weyler Förlag"
,Deckare,Jens Odlander,Atlantis
,Barn och ungdom,"Pija Lindenbaum, Viveca Sjögren, Ylva Lagercrantz","Lilla Piratförlaget, Kabusa, Kulturrådet"
Scenprogram,Deckare,Anna Karolina,Författarcentrum och Sveriges Författarförbund
,Barn och ungdom / Skola,"Niklas Gårdfeldt Leavy, Per Kornhall",Natur & Kultur
,Barn och ungdom / Fantasy och science fiction,"Mats Strandberg, Sofia Falkenhem",I samarbete med Rabén & Sjögren
Monterprogram,Deckare,,Norstedts
Scenprogram,Samhälle och debatt,"Henrik Forsberg, Jonas Sjöstedt",Stiftelsen Global kunskap
"Monterprogram, Scenprogram",Barn och ungdom / Samhälle och debatt / Skola,Jonas Lindström,Södertörns högskola
,Deckare,"Anders Roslund, Börge Hellström, Marianne Rundström",Piratförlaget
,Samhälle och debatt,"Moa Kärnstrand, Olav Fumarola Unsgaard, Tobias Andersson Åkerblom",Leopard
,Barn och ungdom,Katerina Janouch,Unga Lava
Scenprogram,,Birger Johnson,Saljesällskapet
Monterprogram,,,Albert Bonniers Förlag
Monterprogram,,,Albert Bonniers Förlag
Monterprogram,,"Beppe Singer, Farzad Farzaneh, Ylva Hällen",Bonnier Carlsen
,Samhälle och debatt,"Hanna Jedvik, Mattias Alkberg",I samarbete med TEG Publishing
,Samhälle och debatt,,Linköpings universitet
Monterprogram,Memoarer och biografier / Samhälle och debatt,,Forum
,Bibliotek / Skola,"Liselott Drejstam, Sara Bernhardsson",Lärarnas Riksförbund Forum för svenska
,Barn och ungdom / Skola,Cecilia Knutsson,Rabén & Sjögren
Monterprogram,Samhälle och debatt,,Göteborgs universitet
,Samhälle och debatt,Johan Blomgren,Lo Söllgårds förlag
Monterprogram,Serier,,Kartago
Monterprogram,Barn och ungdom,Christoffer Carlsson,Eksjö Bokhandel
Monterprogram,Barn och ungdom / Bibliotek,,Barnens bibliotek
,Samhälle och debatt,"Ebba Witt-Brattström, Ingrid Elam, Märta Tikkanen",Norstedts
Monterprogram,Deckare,,Storytel
,Memoarer och biografier,"Alex Schulman, Karin Skagerberg, Liria Ortiz",Bookmark Förlag
,,"Abdellah Taïa, Zandra Thuvesson",Elisabeth Grate Bokförlag
Monterprogram,Historia / Samhälle och debatt / Yttrandefrihet,Jonas Nordin,Svenska litteratursällskapet i Finland
Scenprogram,Historia / Samhälle och debatt,"Elisabeth Åsbrink, Nils-Henrik Sikku",Se människan
Monterprogram,Bibliotek / Samhälle och debatt,,Region Jämtland Härjedalen
Monterprogram,Deckare,"Anna Jansson, Cilla & Rolf Börjlind, Helena von Zweigbergk, Mats Olsson",Norstedts
,Samhälle och debatt,"Amineh Kakabaveh, Emanuel Sidea, Görrel Espelund, Patrick Kingsley","Volante, Natur & Kultur och Ordfront förlag"
,Barn och ungdom,"Maria Lassén Seger, Meg Rosoff","ALMA, Kulturrådet"
,Barn och ungdom / Fantasy och science fiction,"Charlotte Cederlund, Johan Egerkrans, Lotta Olsson, Siri Pettersen",B. Wahlströms och Bokförlaget Opal
,,Clara Henry,Bokförlaget Forum
,,"Elnaz Baghlanian, Lina Kalmteg",Bokförlaget Atlas
Scenprogram,Samhälle och debatt,"Benita Funke, Benita Funke, Benita Funke, Benita Funke, Benita Funke, Irena Bre?ná, Irena Bre?ná, Irena Bre?ná, Irena Bre?ná, Irena Bre?ná, Irena Bre?ná, Irena Bre?ná, Irena Bre?ná, Irena Bre?ná, Irena Brezná, Theodor Kallifatides, Theodor Kallifatides, Theodor Kallifatides, Theodor Kallifatides, Theodor Kallifatides","Schweiz ambassad, Greklands ambassad och Vaktel Förlag"
,Skola,"Ann Boglind, David Lagercrantz, Elisabet Reslegård, Johan Unenge, John Chrispinsson",Läsrörelsen i samarbete med PostkodLotteriets Kulturstiftelse
Scenprogram,,Maria Küchen,Författarcentrum och Sveriges Författarförbund
"Monterprogram, Scenprogram",Bibliotek / Historia / Samhälle och debatt,Mats Widgren,Kungl. Vitterhetsakademien
Monterprogram,Hälsa och livsstil / Memoarer och biografier,,Wahlström & Widstrand
Scenprogram,Samhälle och debatt,"KG Hammar, KG Sundvall",Ekumeniska följeslagarprogrammet i Palestina och Israel
,,Jesper Waldersten,Bokförlaget Max Ström
Scenprogram,,Rune Liljenrud,Harry Martinson-sällskapet
Monterprogram,,,Bonnierförlagen
,Memoarer och biografier,"Kristofer Flensmarck, Nina Eidem",Natur & Kultur
,,,I samarbete med KulturUngdom
,Barn och ungdom / Samhälle och debatt / Yttrandefrihet,"Berit Harder, Khaled Harara, Rita Nettelstad, Yllka Sheqiri",I samarbete med KulturUngdom
Monterprogram,Barn och ungdom,,Bonnier Carlsen
Monterprogram,Samhälle och debatt,Karin Helgesson,Institutionen för svenska språket
Monterprogram,Hälsa och livsstil / Samhälle och debatt,,Göteborgs universitet
Monterprogram,Barn och ungdom,,Lunds universitet
Monterprogram,Serier,,Kartago
Monterprogram,Barn och ungdom / Yttrandefrihet,Khaled Harara,"ICORN, Fristad Göteborg, Reportrar utan gränser"
,Historia,Ola Larsmo,Albert Bonniers förlag
,,Mattias Stølen Due,Libris Förlag
Monterprogram,Barn och ungdom,Katarina Gäddnäs,Schildts & Söderströms
Monterprogram,Deckare,Emelie Schepp,Studieförbundet Vuxenskolan
Scenprogram,Livsåskådning,"Kristian Lundberg, Lena Sjöstrand","Se människan, Libris & Bilda"
,Livsåskådning,"Horace Engdahl, Stina Otterberg",Litteraturbanken
Monterprogram,Samhälle och debatt,"Anna Öqvist Ragnar, Björn Ranelid",Storytel
,Barn och ungdom,"Bongi McDermott, Moa-Lina Olbers Croall, AnnaJohan","Natur & Kultur, Kulturrådet"
Scenprogram,Samhälle och debatt,Negra Efendic,Författarcentrum och Sveriges Författarförbund
"Monterprogram, Scenprogram",Historia / Hälsa och livsstil / Samhälle och debatt,Aleksander Perski,Natur & Kultur
Scenprogram,Samhälle och debatt,"Erika Oldberg, Gina Ionescu, Olav Unsgaard",Leopard förlag
,Barn och ungdom / Samhälle och debatt / Yttrandefrihet,,I samarbete med KulturUngdom
Monterprogram,Hälsa och livsstil / Samhälle och debatt / Skola,,Slöjd i Väst
,,"Elin Boardy, Jessica Schiefauer",Kultur i Väst
Monterprogram,Barn och ungdom / Samhälle och debatt,,Norrbottens länsbibliotek
,Hälsa och livsstil,Kristina Ahlström,MI Migrän info /MIAB förlag
,,"Göran Everdahl, Helena von Zweigbergk",Norstedts
Scenprogram,Livsåskådning / Samhälle och debatt / Yttrandefrihet,Anders Wejryd,Strindbergsällskapet
,Memoarer och biografier,"Abdi Elmi, Linn Bursell",Ordfront förlag
,Barn och ungdom,"Camilla Sten, Eva Dahlin, Katarina Genar, Sara Kadefors, Viveca Sten",Bonnier Carlsen
Monterprogram,,Hans Landqvist,Institutionen för svenska språket
,Hälsa och livsstil / Samhälle och debatt,,Linköpings universitet
,Barn och ungdom / Skola,"Nina Västerbro, Torkel Klingberg",Natur & Kultur
,Skola,"Jonathan Leman, Sten Hagberg",Lärarnas Riksförbund forum humsam
Monterprogram,Barn och ungdom,,Bonnier Fakta
Monterprogram,Barn och ungdom,,Bonnier Carlsen
,Fantasy och science fiction / Samhälle och debatt,"Andreas Ekström, Anna Jansson, Lars Wilderäng, Robert Karjel","Massolit, Norstedts och Partners in Stories"
,,"Sofi Oksanen, Yukiko Duke",Albert Bonniers förlag
Monterprogram,Historia / Skola,Dick Harrison,Lunds universitet
Monterprogram,Samhälle och debatt,,Studieförbundet Vuxenskolan
Monterprogram,Deckare,Arne Dahl,Eksjö Bokhandel
Monterprogram,Serier,Peter Bergting,Kartago
,Hälsa och livsstil,"Anna Bennich Karlstedt, Jonas Mattsson, Poul Perris",Natur & Kultur
Monterprogram,,Klas Östergren,Vi Media AB
,Yttrandefrihet,"Irena Brežná, Joris Luyendijk, Magda Cârneci, Per Bergström, Theodor Kallifatides",EUNIC och Natur & Kultur
Monterprogram,Historia,"Henrik Meinander, Wivan Nygård-Fagerudd",Svenska litteratursällskapet i Finland
Scenprogram,Historia / Memoarer och biografier / Samhälle och debatt,"Henrik Berggren, KG Hammar","Se människan, Max Ström förlag"
,Hälsa och livsstil,"Ann Lagerström, Sofia Torvalds",Schildts & Söderströms
Monterprogram,,,Norstedts
,Livsåskådning / Samhälle och debatt,"Antje Jackelén, Karen Armstrong",Natur & Kultur och Se människan/Svenska kyrkan
Monterprogram,Historia / Samhälle och debatt,"Anna Öqvist Ragnar, Jan Guillou",Storytel
,Barn och ungdom,"Elinor Falkman, Jessica Johnsson, Liam Häggström, Sitimiya Melka","UR, Kulturrådet"
Monterprogram,Barn och ungdom / Bibliotek / Fantasy och science fiction / Historia / Skola,,Roslagstext
,Historia,"Elisabeth Mansén, Per Wästberg",Svenska Akademien
,Deckare,Anne Holt,Piratförlaget
,,"Elin Larsson, Emil Sergel",Roos & Tegnér
Scenprogram,Samhälle och debatt,"Bitte Hammargren, Ingela Mårtensson",IKFF
Scenprogram,,Petra Holst,Författarcentrum och Sveriges Författarförbund
"Monterprogram, Scenprogram",Bibliotek / Historia / Memoarer och biografier,"Anders Houltz, Per T H Dahl",Centrum för Näringslivshistoria
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Eli Göndör, Henrik Sundborn",Timbro förlag
Monterprogram,Deckare,,Norstedts
,Populärvetenskap,Hans Sjögren,Linköpings universitet
,Memoarer och biografier,"Alex Schulman, Jenny Lindh",Bookmark förlag
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Irene Lindh, Olof Holm",Almqvistsällskapet & Wendelas vänner
"Monterprogram, Scenprogram",Bibliotek / Historia,"Isak Hammar, Ulf Zander",Lunds universitet
Monterprogram,Memoarer och biografier,,Studieförbundet Vuxenskolan
Monterprogram,Memoarer och biografier,,Bonnier Fakta
Monterprogram,Barn och ungdom,"Ola Lindholm, Stina Wirsén",Bonnier Carlsen
,Barn och ungdom / Hälsa och livsstil,Björn Solfors,HarperCollins Nordic
Monterprogram,Historia / Memoarer och biografier / Samhälle och debatt / Serier / Yttrandefrihet,Rikke Petersson,Göteborgs universitet
Monterprogram,Serier,,Kartago
,Hälsa och livsstil,"Agneta Lagercrantz, Anders Hammarberg, Karin Romberg",Natur & Kultur
,Samhälle och debatt,Lars Åke Augustsson,Carlsson Bokförlag
Monterprogram,Historia / Memoarer och biografier,Erik Osvalds,Historiska Media
Scenprogram,,"Liv Strömquist, Liv Strömqvist, Ludvig Lindelöf","Se människan, Galago"
,,"Ellinor Broman, Karmele Jaio",The Etxepare Basque Institute
Monterprogram,Historia,,Norstedts
Monterprogram,Deckare,"Anna Öqvist Ragnar, Olle Lönnaeus",Storytel
,Deckare,"Adam Dahlin, Anders de la Motte, Katarina Wennstam",Bokförlaget Forum och Albert Bonniers förlag
,Barn och ungdom,"Agneta Edwards, Magnus Nordin","Berghs, Kulturrådet"
Scenprogram,Memoarer och biografier,Elsie Johansson,Författarcentrum och Sveriges Författarförbund
,,"Eva Fred, Sven Wollter",I samarbete med Ordfront förlag
Scenprogram,Samhälle och debatt,"Erica Grahn, Johanna Koljonen, Kaisa Kepsu, Sebastian Högnabba",Finlandssvenskarnas riksförbund i Sverige
Monterprogram,Bibliotek / Hälsa och livsstil / Skola,,Hemslöjdens förlag
"Monterprogram, Scenprogram",Historia,Samuel Rubensson,Riksbankens Jubileumsfond
Scenprogram,Samhälle och debatt,Nina Björk,Författarcentrum och Sveriges Författarförbund
Scenprogram,,Erik Zillén,Gustaf Fröding-sällskapet
Monterprogram,,,Albert Bonniers Förlag
Monterprogram,,,Albert Bonniers Förlag
Monterprogram,,"Lejla Hastor, Nivin Yosef",Wahlström & Widstrand
,Deckare,,I samarbete med Piratförlaget
,Deckare,Sara Lövestam,I samarbete med Piratförlaget
,Hälsa och livsstil / Samhälle och debatt,Anna Gavanas,Linköpings universitet
,Deckare,"Emelie Schepp, Helene Atterling, Jenny Rogneby",Wahlström & Widstrand
,Skola,"Benita Funke, Francoise Sule, Eugène Eugène",Lärarnas Riksförbund forum för engelska och moderna språk
Monterprogram,Barn och ungdom,,Bonnier Carlsen
,Samhälle och debatt,"Emilia Söelund, Malin Arvidsson",Bokpro
